HomeTeam,AwayTeam,HScore,AScore
Luton,Middlesbrough,3,1
Coventry,Swansea,1,2
Birmingham,Bristol City,3,0
Cardiff,QPR,0,1
Bournemouth,Preston,1,2
Blackpool,Stoke,0,1
Blackburn,Fulham,0,7
Barnsley,Derby,2,1
West Brom,Hull,1,0
West Brom,Middlesbrough,1,1
Peterborough,Fulham,0,1
Nottingham,Preston,3,0
Millwall,Derby,1,1
Luton,Stoke,0,1
Coventry,Bristol City,3,2
Cardiff,Huddersfield,2,1
Bournemouth,Swansea,4,0
Blackburn,Sheffield Utd,3,1
Barnsley,Hull,0,2
Birmingham,Reading,1,2
Blackpool,QPR,1,1
QPR,Luton,2,0
Sheffield Utd,Coventry,0,0
Swansea,Blackpool,1,1
Stoke,Peterborough,2,0
Reading,Nottingham,1,1
Preston,Cardiff,1,2
Middlesbrough,Millwall,1,1
Hull,Birmingham,2,0
Huddersfield,West Brom,1,0
Fulham,Barnsley,4,1
Bristol City,Blackburn,1,1
Derby,Bournemouth,3,2
Reading,Sheffield Utd,0,1
Nottingham,Luton,0,0
Middlesbrough,Preston,1,2
Coventry,Birmingham,0,0
Blackpool,West Brom,0,0
QPR,Huddersfield,1,0
Millwall,Bournemouth,1,1
Fulham,Derby,0,0
Cardiff,Hull,0,1
Bristol City,Stoke,1,0
Blackburn,Peterborough,4,0
Barnsley,Swansea,0,2
West Brom,Nottingham,0,0
Swansea,Reading,2,3
Stoke,Blackburn,0,1
Peterborough,Barnsley,0,0
Luton,Cardiff,1,2
Hull,Millwall,2,1
Huddersfield,Middlesbrough,1,2
Bournemouth,Coventry,2,2
Birmingham,Blackpool,1,0
Preston,Fulham,1,1
Sheffield Utd,Bristol City,2,0
Derby,QPR,1,2
Fulham,Bournemouth,1,1
Reading,Hull,1,1
Nottingham,Peterborough,2,0
Millwall,Birmingham,3,1
Middlesbrough,Swansea,1,0
Cardiff,Sheffield Utd,2,3
Bristol City,Derby,1,0
Blackpool,Luton,0,3
Blackburn,Preston,1,0
Barnsley,Huddersfield,1,1
Coventry,West Brom,1,2
QPR,Stoke,0,2
West Brom,Reading,1,0
Swansea,Nottingham,1,4
Stoke,Middlesbrough,0,0
Preston,Barnsley,2,1
Peterborough,Millwall,2,1
Luton,Fulham,1,1
Hull,Bristol City,2,2
Derby,Blackpool,1,0
Bournemouth,Blackburn,0,2
Birmingham,Cardiff,2,2
Huddersfield,Coventry,1,1
Barnsley,West Brom,0,0
Nottingham,Hull,2,1
Bristol City,Huddersfield,2,3
Blackpool,Peterborough,3,1
Blackburn,Birmingham,4,0
Middlesbrough,Bournemouth,1,0
Fulham,Sheffield Utd,0,1
Middlesbrough,Nottingham,2,0
Huddersfield,Blackpool,3,2
QPR,Bournemouth,0,1
Derby,West Brom,1,0
Coventry,Millwall,0,1
Blackpool,Middlesbrough,1,2
Blackburn,Barnsley,2,1
Stoke,Derby,1,2
Nottingham,Huddersfield,0,1
Bristol City,QPR,1,2
Bournemouth,Cardiff,3,0
Blackpool,Hull,1,0
West Brom,Cardiff,1,1
Blackburn,Huddersfield,0,0
Birmingham,QPR,1,2
Bristol City,Millwall,3,2
Stoke,Preston,1,2
Reading,Derby,2,2
Reading,Fulham,0,7
QPR,West Brom,1,0
Preston,Birmingham,1,1
Peterborough,Coventry,1,4
Millwall,Nottingham,0,1
Middlesbrough,Reading,2,1
Huddersfield,Swansea,1,1
Fulham,Bristol City,6,2
Derby,Sheffield Utd,2,0
Luton,Bournemouth,3,2
Cardiff,Blackburn,0,1
Hull,Stoke,0,2
Preston,Sheffield Utd,2,2
Fulham,Birmingham,6,2
Reading,Luton,0,2
Hull,Blackburn,2,0
West Brom,Peterborough,3,0
Swansea,Preston,1,0
Stoke,Fulham,2,3
