homeTeam,AwayTeam,hScore,aScore,hExpected,aExpected,resultProb,scoreProb
Eintracht Frankfurt,Arminia Bielefeld,0,2,1.385,1.089,29.54,5.0
Bochum,1. FC Koeln,2,2,1.446,0.86,26.79,3.9
SC Freiburg,VfB Stuttgart,2,0,1.527,0.706,57.01,12.5
B. Moenchengladbach,1. FC Union Berlin,1,2,1.758,2.17,47.71,8.1
TSG Hoffenheim,Borussia Dortmund,2,3,2.756,1.793,24.15,3.9
Furth,1. FSV Mainz 05,2,1,0.921,1.208,28.05,6.1
Bayer Leverkusen,FC Augsburg,5,1,2.071,0.916,64.05,1.5
Hertha Berlin,Bayern Monachium,1,4,0.978,4.272,89.84,7.1
RB Lipsk,VfL Wolfsburg,2,0,3.285,1.045,80.19,7.1
Hertha Berlin,Bochum,1,1,1.898,0.849,21.73,10.3
Bayern Monachium,RB Lipsk,3,2,2.02,0.572,71.61,1.7
VfB Stuttgart,Eintracht Frankfurt,2,3,1.599,2.871,63.94,5.8
1. FSV Mainz 05,TSG Hoffenheim,2,0,2.283,0.709,72.97,13.1
FC Augsburg,1. FC Union Berlin,2,0,1.424,2.295,23.2,2.5
1. FC Koeln,SC Freiburg,1,0,1.377,2.002,26.33,4.7
Arminia Bielefeld,B. Moenchengladbach,1,1,1.22,1.296,26.88,12.8
VfL Wolfsburg,Furth,4,1,1.639,0.919,54.31,2.1
Borussia Dortmund,Bayer Leverkusen,2,5,2.874,2.429,33.77,1.4
RB Lipsk,1. FC Koeln,3,1,3.299,1.475,72.74,7.5
Bayer Leverkusen,VfB Stuttgart,4,2,2.475,0.81,73.82,1.9
SC Freiburg,1. FSV Mainz 05,1,1,2.08,0.859,19.91,9.5
B. Moenchengladbach,FC Augsburg,3,2,1.782,0.947,57.03,2.8
Furth,Hertha Berlin,2,1,1.372,0.979,45.89,8.8
Eintracht Frankfurt,VfL Wolfsburg,0,2,1.548,0.981,23.97,3.8
Bochum,Bayern Monachium,4,2,0.868,2.496,10.99,0.3
TSG Hoffenheim,Arminia Bielefeld,2,0,1.56,1.106,47.81,8.5
1. FC Union Berlin,Borussia Dortmund,0,3,1.538,1.594,39.36,2.9
