homeTeam,AwayTeam,hScore,aScore,hExpected,aExpected,resultProb,scoreProb
Fiorentina,Genoa,6,0,3.509,1.082,82.04,2.6
Bologna,Napoli,0,2,0.828,1.941,63.52,11.8
AC Milan,Spezia,1,2,3.124,0.627,4.5,1.4
Verona,Bologna,2,1,2.521,1.453,60.76,8.7
Lazio,Atalanta,0,0,2.018,3.008,16.76,0.7
Inter,Venezia,2,1,3.036,0.313,90.3,5.1
Genoa,Udinese,0,0,0.936,2.021,20.78,5.2
AC Milan,Juventus,0,0,1.536,1.504,24.11,4.8
Empoli,AS Roma,2,4,1.774,4.06,77.17,5.2
Torino,Sassuolo,1,1,2.665,1.556,17.67,6.1
Spezia,Sampdoria,1,0,1.148,1.353,31.71,9.4
Napoli,Salernitana,4,1,2.357,0.391,81.59,3.2
Cagliari,Fiorentina,1,1,1.409,1.303,25.71,12.2
Fiorentina,Lazio,0,3,3.953,1.452,8.96,0.2
Inter,AC Milan,1,2,2.336,1.416,22.51,5.5
AS Roma,Genoa,0,0,2.377,0.788,16.7,4.2
Juventus,Verona,2,0,1.816,1.027,55.86,9.6
Udinese,Torino,2,0,0.919,0.901,34.16,6.8
Venezia,Napoli,0,2,0.594,2.896,83.97,12.8
Sampdoria,Sassuolo,4,0,1.577,3.542,13.06,0.2
Bologna,Empoli,0,0,1.278,1.83,22.88,4.5
Atalanta,Cagliari,1,2,2.465,0.723,8.91,2.7
Salernitana,Spezia,2,2,0.754,1.864,21.76,3.6
Torino,Venezia,1,2,2.418,0.434,4.94,1.3
Napoli,Inter,1,1,1.025,1.047,30.2,13.5
Lazio,Bologna,3,0,3.396,1.408,75.21,5.4
Atalanta,Juventus,1,1,1.297,1.973,21.83,9.7
Sassuolo,AS Roma,2,2,1.501,2.659,17.57,6.2
Verona,Udinese,4,0,2.15,1.419,54.25,2.5
Genoa,Salernitana,1,1,1.153,1.049,29.06,13.4
Empoli,Cagliari,1,1,2.186,1.774,20.43,7.4
AC Milan,Sampdoria,1,0,1.624,0.802,56.92,14.4
Spezia,Fiorentina,1,2,1.158,0.92,28.95,6.1
Juventus,Torino,1,1,1.072,0.282,34.24,7.8
Salernitana,AC Milan,2,2,0.563,4.347,4.0,1.1
AS Roma,Verona,2,2,1.802,1.262,23.09,6.0
Sampdoria,Empoli,2,0,1.256,2.11,22.24,2.7
Udinese,Lazio,1,1,1.659,2.227,20.29,7.6
Inter,Sassuolo,0,2,3.394,1.379,11.62,0.8
Venezia,Genoa,1,1,1.572,1.296,24.67,11.6
Fiorentina,Atalanta,1,0,1.646,2.211,28.84,3.5
Bologna,Spezia,2,1,2.035,1.146,57.89,9.9
Cagliari,Napoli,1,1,0.567,2.576,13.33,6.3
Genoa,Inter,0,0,0.427,2.409,13.64,5.9
AC Milan,Udinese,1,1,2.071,0.795,19.71,9.4
Sassuolo,Fiorentina,2,1,1.363,1.435,35.73,8.1
Empoli,Juventus,2,3,1.141,3.198,77.43,4.6
Salernitana,Bologna,1,1,1.164,1.919,22.17,10.2
Lazio,Napoli,1,2,1.227,1.863,52.27,9.7
Spezia,AS Roma,0,1,1.294,2.197,57.92,6.7
Verona,Venezia,3,1,2.502,0.782,74.87,7.7
Torino,Cagliari,1,2,2.506,0.639,7.4,2.2
Atalanta,Sampdoria,4,0,1.629,1.214,47.05,1.7
Inter,Salernitana,5,0,3.631,0.655,89.57,7.2
Cagliari,Lazio,0,3,1.414,2.066,52.6,4.5
AS Roma,Atalanta,1,0,0.848,1.489,21.41,8.2
Udinese,Sampdoria,2,1,1.584,1.153,47.33,9.4
Napoli,AC Milan,0,1,1.662,1.312,30.3,6.7
Juventus,Spezia,1,0,2.099,0.583,72.8,14.4
Venezia,Sassuolo,1,4,1.334,2.857,68.91,5.6
Fiorentina,Verona,1,1,3.28,1.649,14.45,3.9
Bologna,Torino,0,0,1.07,0.58,33.11,19.2
Genoa,Empoli,0,0,0.592,1.478,26.32,12.6
